Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781351094,2,,Aggregated,0.600000,0.000000,3500,3600,3600,3600,4800,5300,5300,5300,5300,5300,5300,14,0,3505.9998482465744,3757.347873811211,3505.9998482465744,5289.334425702691,18421.0
1781351095,2,,Aggregated,0.600000,0.000000,3500,3600,3600,3600,4800,5300,5300,5300,5300,5300,5300,14,0,3505.9998482465744,3757.347873811211,3505.9998482465744,5289.334425702691,18421.0
1781351096,2,,Aggregated,0.600000,0.000000,3500,3600,3600,3600,4800,5300,5300,5300,5300,5300,5300,14,0,3505.9998482465744,3757.347873811211,3505.9998482465744,5289.334425702691,18421.0
1781351097,2,,Aggregated,0.600000,0.000000,3500,3600,3600,3600,4800,5300,5300,5300,5300,5300,5300,15,0,3505.9998482465744,3745.10426496466,3505.9998482465744,5289.334425702691,18421.0
1781351098,2,,Aggregated,0.600000,0.000000,3600,3600,3600,3600,4800,5300,5300,5300,5300,5300,5300,16,0,3505.9998482465744,3734.5008479896933,3505.9998482465744,5289.334425702691,18421.0
1781351099,2,,Aggregated,0.600000,0.000000,3600,3600,3600,3600,4800,5300,5300,5300,5300,5300,5300,16,0,3505.9998482465744,3734.5008479896933,3505.9998482465744,5289.334425702691,18421.0
1781351100,2,,Aggregated,0.600000,0.000000,3600,3600,3600,3600,4800,5300,5300,5300,5300,5300,5300,16,0,3505.9998482465744,3734.5008479896933,3505.9998482465744,5289.334425702691,18421.0
1781351101,2,,Aggregated,0.600000,0.000000,3600,3600,3600,3600,4800,5300,5300,5300,5300,5300,5300,18,0,3600,3719.2504938898815,3505.9998482465744,5289.334425702691,18421.0
1781351102,2,,Aggregated,0.600000,0.000000,3600,3600,3600,3600,4800,5300,5300,5300,5300,5300,5300,18,0,3600,3719.2504938898815,3505.9998482465744,5289.334425702691,18421.0
1781351103,2,,Aggregated,0.600000,0.000000,3600,3600,3600,3600,4800,5300,5300,5300,5300,5300,5300,18,0,3600,3719.2504938898815,3505.9998482465744,5289.334425702691,18421.0
1781351104,2,,Aggregated,0.600000,0.000000,3600,3600,3600,3600,4800,5300,5300,5300,5300,5300,5300,19,0,3600,3713.590247556567,3505.9998482465744,5289.334425702691,18421.0
1781351105,2,,Aggregated,0.600000,0.000000,3600,3600,3600,3600,4800,5300,5300,5300,5300,5300,5300,20,0,3600,3708.6625907570124,3505.9998482465744,5289.334425702691,18421.0
1781351106,2,,Aggregated,0.600000,0.000000,3600,3600,3600,3600,4800,5300,5300,5300,5300,5300,5300,20,0,3600,3708.6625907570124,3505.9998482465744,5289.334425702691,18421.0
1781351107,2,,Aggregated,0.600000,0.000000,3600,3600,3600,3600,4800,5300,5300,5300,5300,5300,5300,20,0,3600,3708.6625907570124,3505.9998482465744,5289.334425702691,18421.0
