Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/invocations (batch=128),22,0,3600,3700.3342052921653,3505.9998482465744,5289.334425702691,18421.0,0.5374147960977014,0.0,3600,3600,3600,3600,3600,4800,5300,5300,5300,5300,5300
,Aggregated,22,0,3600,3700.3342052921653,3505.9998482465744,5289.334425702691,18421.0,0.5374147960977014,0.0,3600,3600,3600,3600,3600,4800,5300,5300,5300,5300,5300
