Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/invocations (batch=128),24,0,3500,3601.045805340012,3393.4652879834175,5157.803872600198,18421.0,0.5524807563274278,0.0,3500,3500,3500,3500,3600,4700,5200,5200,5200,5200,5200
,Aggregated,24,0,3500,3601.045805340012,3393.4652879834175,5157.803872600198,18421.0,0.5524807563274278,0.0,3500,3500,3500,3500,3600,4700,5200,5200,5200,5200,5200
