Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/invocations (batch=128),22,0,3700,3973.602620884776,3654.259040951729,6679.135851562023,18421.0,0.5005709321689185,0.0,3700,3800,3800,3800,3800,6200,6700,6700,6700,6700,6700
,Aggregated,22,0,3700,3973.602620884776,3654.259040951729,6679.135851562023,18421.0,0.5005709321689185,0.0,3700,3800,3800,3800,3800,6200,6700,6700,6700,6700,6700
