Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/invocations (batch=128),26,0,3300,3333.229670802561,3229.764537885785,3962.3834043741226,18421.0,0.5970859146239977,0.0,3300,3300,3300,3300,3400,3600,4000,4000,4000,4000,4000
,Aggregated,26,0,3300,3333.229670802561,3229.764537885785,3962.3834043741226,18421.0,0.5970859146239977,0.0,3300,3300,3300,3300,3400,3600,4000,4000,4000,4000,4000
